default,amount,grade,years,ownership,income,age,y_pred,y_proba
0,0,1000,B,2.0,RENT,19200.0,24,0,0.15
1,1,6500,A,2.0,MORTGAGE,66000.0,28,1,0.8
2,0,2400,A,2.0,RENT,60000.0,36,0,0.08
3,0,10000,C,3.0,RENT,62000.0,24,0,0.05
4,1,4000,C,2.0,RENT,20000.0,28,1,0.82
5,1,5000,A,2.0,RENT,12000.0,27,1,0.82
6,1,6000,C,1.0,RENT,48000.0,23,1,0.86
7,0,5000,D,2.0,RENT,40000.0,21,0,0.13
8,0,4200,A,6.0,RENT,60000.0,29,0,0.05
9,0,12000,A,4.0,MORTGAGE,85000.0,22,0,0.04
10,1,3600,A,3.0,RENT,70000.0,27,1,0.66
11,0,6000,B,1.0,RENT,72000.0,25,0,0.13
12,1,4000,A,2.0,RENT,54000.0,27,1,0.89
13,0,13000,C,2.0,MORTGAGE,65000.0,22,0,0.07
14,1,1500,A,3.0,RENT,45000.0,24,1,0.9
15,1,4800,D,2.0,RENT,75000.0,24,1,0.93
16,1,1200,C,0.0,RENT,4800.0,22,1,0.67
17,0,7000,A,0.0,RENT,75800.0,23,0,0.15
18,1,12000,C,3.0,MORTGAGE,40000.0,23,1,0.88
19,0,10000,D,2.0,RENT,90000.0,21,0,0.17
20,0,2475,A,16.0,MORTGAGE,63600.0,23,0,0.06
21,1,7000,C,0.0,RENT,54000.0,28,1,0.82
22,0,10000,D,1.0,RENT,72000.0,38,0,0.12
23,0,7200,D,1.0,OWN,42996.0,25,0,0.16
24,1,7600,C,1.0,RENT,67680.0,25,1,0.76
25,0,1800,A,12.0,RENT,35000.0,29,0,0.29
26,0,7200,B,1.0,MORTGAGE,73200.0,32,0,0.22
27,0,2600,B,2.0,RENT,40792.0,35,0,0.18
28,0,7000,B,0.0,MORTGAGE,85000.0,23,0,0.18
29,0,12000,B,11.0,MORTGAGE,136000.0,32,0,0.05
30,0,7875,B,15.0,MORTGAGE,55500.0,36,0,0.11
31,0,6000,A,0.0,RENT,26400.0,22,0,0.18
32,0,4000,D,6.0,MORTGAGE,45000.0,31,0,0.25
33,0,6250,A,3.0,RENT,54000.0,23,0,0.16
34,0,10000,A,0.0,RENT,46200.0,22,0,0.0
35,0,4000,C,0.0,RENT,90000.0,28,0,0.11
36,0,17000,B,1.0,MORTGAGE,65000.0,26,0,0.01
37,1,12000,A,1.0,RENT,60000.0,30,1,0.76
38,0,3500,A,1.0,RENT,70000.0,23,0,0.13
39,0,18000,E,6.086331901181525,OWN,72000.0,25,0,0.25
40,1,16750,C,18.0,RENT,60000.0,23,1,0.87
41,1,25000,D,3.0,MORTGAGE,116736.0,23,1,0.83
42,0,2000,B,0.0,RENT,24432.0,22,0,0.26
43,1,2100,D,0.0,RENT,14400.0,33,1,0.98
44,1,4000,A,6.086331901181525,RENT,40000.0,25,1,0.71
45,0,13500,B,0.0,MORTGAGE,48526.8,22,0,0.09
46,1,6500,D,4.0,RENT,36000.0,30,1,0.85
47,1,9250,A,0.0,MORTGAGE,45896.0,25,1,0.7
48,0,11000,A,4.0,RENT,46000.0,22,0,0.02
49,0,7200,B,1.0,RENT,48000.0,30,0,0.09
50,1,3200,A,0.0,RENT,12000.0,24,1,0.83
51,0,8000,C,8.0,RENT,70000.0,26,0,0.0
52,0,1800,B,6.086331901181525,RENT,14400.0,41,0,0.08
53,0,3600,A,12.0,MORTGAGE,93000.0,22,0,0.1
54,1,5000,B,3.0,RENT,65004.0,22,1,0.57
55,0,6950,A,11.0,MORTGAGE,30000.0,22,0,0.2
56,1,7500,B,2.0,MORTGAGE,81000.0,33,1,0.73
57,1,12000,D,2.0,RENT,27000.0,47,1,0.95
58,1,18000,A,7.0,MORTGAGE,90000.0,29,1,0.71
59,1,5000,B,3.0,RENT,40040.0,27,1,0.73
60,0,10000,C,34.0,OWN,75000.0,30,0,0.13
61,0,7500,C,7.0,RENT,55000.0,28,0,0.15
62,1,2000,D,1.0,RENT,30972.0,24,1,0.92
63,0,1000,C,2.0,RENT,7000.0,24,0,0.1
64,1,8000,B,1.0,RENT,33996.0,22,1,0.92
65,1,7750,E,2.0,RENT,26000.0,21,1,0.95
66,0,6000,A,0.0,RENT,48000.0,30,0,0.09
67,0,5000,B,1.0,MORTGAGE,51600.0,23,0,0.24
68,0,5000,A,2.0,RENT,58979.28,26,0,0.1
69,0,10000,C,11.0,MORTGAGE,153000.0,33,0,0.23
70,1,3500,D,2.0,MORTGAGE,24000.0,25,1,0.85
71,1,9000,A,9.0,RENT,42140.0,21,1,0.8
72,1,9000,B,1.0,RENT,51000.0,37,1,0.7666666666666666
73,0,14000,A,14.0,MORTGAGE,116000.0,28,0,0.06
74,0,10500,B,6.0,RENT,38400.0,33,0,0.19
75,1,11200,C,5.0,MORTGAGE,33280.0,21,1,0.88
76,1,12000,D,2.0,MORTGAGE,72000.0,26,1,0.82
77,0,12500,A,3.0,MORTGAGE,32500.0,25,0,0.24
78,1,8000,B,3.0,RENT,14400.0,22,1,0.95
79,1,25000,B,12.0,MORTGAGE,616000.0,28,1,0.8
80,0,10000,B,10.0,MORTGAGE,32004.0,22,0,0.07
81,1,14000,B,8.0,RENT,35000.0,28,1,0.67
82,0,12000,B,2.0,RENT,47700.0,31,0,0.12
83,1,5400,D,1.0,RENT,32000.0,22,1,0.88
84,1,5900,A,1.0,OWN,15600.0,33,1,0.63
85,1,1100,C,5.0,MORTGAGE,36000.0,30,1,0.9
86,1,2000,B,2.0,RENT,10000.0,24,1,0.77
87,0,12000,A,6.0,RENT,48672.0,23,0,0.02
88,0,15000,B,4.0,RENT,84000.0,26,0,0.13
89,0,5000,A,11.0,OWN,85800.0,34,0,0.07
90,0,10000,C,3.0,RENT,62000.0,24,0,0.05
91,1,6000,B,1.0,MORTGAGE,34980.0,25,1,0.82
92,0,5000,B,8.0,MORTGAGE,80000.0,46,0,0.25
93,0,12000,B,1.0,OWN,61000.0,23,0,0.11
94,1,3500,B,9.0,RENT,51996.0,24,1,0.8
95,1,6000,A,8.0,MORTGAGE,92004.0,25,1,0.76
96,0,5600,A,20.0,RENT,55692.0,21,0,0.14
97,1,5000,D,7.0,RENT,40000.0,35,1,0.95
98,0,13375,A,1.0,MORTGAGE,59000.0,22,0,0.09
99,0,25000,A,18.0,RENT,65800.0,31,0,0.12
100,0,20000,B,7.0,MORTGAGE,120000.0,29,0,0.13
101,0,15000,A,4.0,RENT,74872.0,29,0,0.08
102,1,2000,B,26.0,MORTGAGE,52645.0,25,1,0.83
103,0,6000,A,3.0,RENT,39184.0,28,0,0.08
104,0,5400,C,20.0,MORTGAGE,100000.0,23,0,0.14
105,1,9000,C,5.0,MORTGAGE,69000.0,28,1,0.85
106,1,10000,B,5.0,RENT,60000.0,24,1,0.79
107,0,10000,D,4.0,RENT,34000.0,28,0,0.34
108,0,7000,D,4.0,RENT,72700.0,25,0,0.32
109,0,9600,B,10.0,RENT,94837.0,24,0,0.09
110,1,25000,B,2.0,MORTGAGE,250000.0,26,1,0.94
111,1,20000,D,3.0,RENT,62000.0,24,1,0.88
112,0,9000,C,7.0,MORTGAGE,50000.0,21,0,0.21
113,1,22000,F,2.0,MORTGAGE,93600.0,25,1,0.96
114,1,5775,A,1.0,RENT,36900.0,23,1,0.66
115,1,13500,B,9.0,MORTGAGE,78000.0,24,1,0.72
116,1,2000,B,1.0,RENT,48000.0,24,1,0.79
117,0,14400,C,1.0,RENT,80000.0,23,0,0.17
118,0,14000,B,0.0,RENT,37000.0,26,0,0.14
119,0,7000,D,5.0,RENT,35000.0,21,0,0.29
120,1,5000,A,3.0,OWN,32500.0,27,1,0.63
121,0,12000,A,19.0,MORTGAGE,145000.0,22,0,0.03
122,1,3800,C,3.0,MORTGAGE,68500.0,32,1,0.94
123,1,12000,B,5.0,MORTGAGE,108000.0,32,1,0.59
124,0,10000,A,3.0,MORTGAGE,62000.0,33,0,0.02
125,1,5000,C,6.0,RENT,41000.0,21,1,0.78
126,0,6000,A,2.0,MORTGAGE,47000.0,27,0,0.06
127,1,4600,D,5.0,RENT,58000.0,23,1,0.82
128,1,2000,A,24.0,RENT,24000.0,41,1,0.85
129,0,14100,A,6.0,RENT,83203.68,30,0,0.01
130,1,6200,D,61.0,MORTGAGE,75000.0,26,1,0.76
131,0,5000,D,3.0,MORTGAGE,165000.0,30,0,0.23
132,0,2100,A,6.0,MORTGAGE,61000.0,22,0,0.09
133,1,13200,D,6.086331901181525,MORTGAGE,49800.0,30,1,0.92
134,1,25000,G,12.0,RENT,203000.0,29,1,0.9
135,0,10000,C,0.0,RENT,30000.0,27,0,0.2
136,1,25000,B,3.0,RENT,72000.0,26,1,0.81
137,0,10500,B,6.0,MORTGAGE,63400.0,22,0,0.07
138,0,6000,A,27.0,RENT,55000.0,26,0,0.13
139,0,6000,C,7.0,RENT,21812.0,25,0,0.14
140,1,1000,C,4.0,RENT,60000.0,55,1,0.85
141,0,25000,D,21.0,MORTGAGE,180000.0,24,0,0.24
142,0,9450,D,16.0,RENT,29000.0,32,0,0.4
143,0,11000,A,7.0,MORTGAGE,59000.0,37,0,0.06
144,0,15000,B,3.0,RENT,73500.0,23,0,0.11
145,0,15000,A,9.0,MORTGAGE,175000.0,44,0,0.04
146,0,6500,B,6.086331901181525,MORTGAGE,85000.0,34,0,0.14
147,1,16800,D,6.0,RENT,75000.0,22,1,0.78
148,0,7750,A,15.0,MORTGAGE,65000.0,31,0,0.15
149,0,4000,B,2.0,RENT,29120.0,27,0,0.12300000000000001
150,0,2300,B,0.0,RENT,25920.0,25,0,0.12
151,1,10000,A,9.0,MORTGAGE,60000.0,24,1,0.68
152,0,11200,D,11.0,OWN,51300.0,22,0,0.27
153,0,2500,B,5.0,RENT,45000.0,25,0,0.05
154,0,11000,D,3.0,RENT,47500.0,28,0,0.22
155,1,9600,B,4.0,MORTGAGE,80004.0,41,1,0.69
156,1,4800,C,7.0,RENT,38400.0,22,1,0.92
157,1,13000,A,3.0,RENT,54000.0,22,1,0.81
158,0,10800,B,4.0,RENT,82600.0,27,0,0.11
159,1,4600,D,3.0,RENT,58800.0,26,1,0.87
160,1,12000,C,0.0,MORTGAGE,35280.0,22,1,0.89
161,0,17800,E,1.0,RENT,85000.0,23,0,0.16
162,0,20000,C,13.0,MORTGAGE,50000.0,25,0,0.28
163,0,10000,A,2.0,MORTGAGE,105000.0,34,0,0.0
164,1,6300,C,6.0,MORTGAGE,60000.0,24,1,0.9
165,1,10000,D,3.0,RENT,75000.0,25,1,0.88
166,1,4200,B,1.0,RENT,42499.0,25,1,0.82
167,0,10000,D,2.0,RENT,48000.0,25,0,0.33
168,1,12000,D,4.0,RENT,30000.0,30,1,0.86
169,0,10800,A,21.0,MORTGAGE,110000.0,24,0,0.0
170,0,6000,C,19.0,MORTGAGE,72000.0,24,0,0.23
171,0,12000,E,3.0,RENT,125004.0,33,0,0.11
172,0,5650,D,0.0,OWN,20000.0,25,0,0.15
173,1,8000,C,3.0,MORTGAGE,38213.0,22,1,0.85
174,0,1000,D,11.0,MORTGAGE,32000.0,27,0,0.2
175,0,8000,A,4.0,RENT,54996.0,30,0,0.16
176,0,7000,B,3.0,RENT,45000.0,34,0,0.32
177,1,12000,B,7.0,MORTGAGE,26000.0,28,1,0.8
178,0,9500,B,1.0,MORTGAGE,38400.0,35,0,0.33
179,1,14000,B,0.0,MORTGAGE,75000.0,30,1,0.86
180,0,24000,E,2.0,MORTGAGE,79996.0,23,0,0.29
181,0,4000,A,5.0,RENT,70000.0,21,0,0.12
182,1,19975,C,9.0,RENT,125000.0,28,1,0.73
183,1,24000,B,30.0,MORTGAGE,160000.0,61,1,0.86
184,1,23500,D,6.086331901181525,MORTGAGE,64800.0,22,1,0.92
185,0,15000,C,10.0,RENT,34800.0,22,0,0.22
186,0,5000,C,6.0,RENT,45600.0,25,0,0.24
187,0,5000,A,3.0,RENT,24000.0,25,0,0.12
188,1,10400,B,5.0,OWN,45000.0,25,1,0.84
189,0,3000,C,6.086331901181525,RENT,38400.0,30,0,0.27
190,0,7500,C,3.0,MORTGAGE,90000.0,34,0,0.22
191,1,2400,D,2.0,RENT,13440.0,36,1,0.97
192,0,9000,C,4.0,OWN,81000.0,27,0,0.19
193,1,24000,F,13.0,MORTGAGE,105900.0,31,1,0.93
194,0,4000,C,0.0,RENT,34200.0,32,0,0.13
195,0,10000,B,0.0,RENT,38000.0,27,0,0.08
196,0,1600,G,4.0,RENT,42000.0,29,0,0.29
197,0,6000,A,4.0,MORTGAGE,112445.0,32,0,0.02
198,1,9000,C,2.0,RENT,18500.0,23,1,0.94
199,0,12000,B,2.0,RENT,33600.0,21,0,0.23
200,0,8000,A,4.0,RENT,72000.0,49,0,0.02
201,1,8000,D,2.0,RENT,42000.0,24,1,0.92
202,0,1800,C,3.0,RENT,36129.0,34,0,0.36
203,1,4500,C,15.0,RENT,55000.0,28,1,0.95
204,0,12250,B,4.0,MORTGAGE,47540.0,22,0,0.11
205,1,1500,A,1.0,MORTGAGE,60000.0,24,1,0.67
206,0,7000,B,12.0,RENT,50000.0,24,0,0.12
207,0,8000,A,7.0,RENT,48000.0,41,0,0.03
208,1,12875,B,3.0,RENT,37760.0,22,1,0.87
209,0,20000,D,12.0,MORTGAGE,260000.0,37,0,0.25
210,1,5000,D,0.0,RENT,65000.0,25,1,0.83
211,1,17000,A,1.0,MORTGAGE,58000.0,52,1,0.68
212,0,6000,B,1.0,RENT,75000.0,23,0,0.05
213,1,7000,E,6.0,MORTGAGE,80000.0,28,1,0.89
214,0,1050,A,6.0,MORTGAGE,61000.0,27,0,0.04
215,1,13750,E,23.0,MORTGAGE,38644.0,22,1,0.9
216,0,10000,A,4.0,MORTGAGE,57664.0,23,0,0.01
217,1,2000,C,0.0,RENT,33000.0,21,1,0.83
218,0,2500,B,1.0,OWN,18000.0,21,0,0.32
219,0,2000,D,4.0,RENT,39000.0,27,0,0.32
220,0,24000,A,4.0,RENT,48000.0,26,0,0.1
221,1,25000,C,5.0,MORTGAGE,73476.0,23,1,0.92
222,0,10000,A,6.0,MORTGAGE,40000.0,24,0,0.09
223,1,1500,C,0.0,RENT,42000.0,22,1,0.94
224,1,11500,B,0.0,MORTGAGE,28800.0,22,1,0.86
225,1,1500,B,7.0,RENT,45000.0,39,1,0.81
226,1,7500,B,9.0,MORTGAGE,78955.0,22,1,0.74
227,0,4800,B,26.0,RENT,69000.0,29,0,0.22
228,0,8000,A,1.0,OWN,68000.0,31,0,0.07
229,0,10000,A,3.0,MORTGAGE,125000.0,25,0,0.04
230,1,7000,B,1.0,MORTGAGE,93000.0,46,1,0.71
231,0,32000,A,2.0,RENT,120000.0,25,0,0.05
232,0,2500,C,0.0,RENT,20640.0,22,0,0.29
