default,amount,grade,years,ownership,income,age
0,1000,B,2,RENT,19200,24
1,6500,A,2,MORTGAGE,66000,28
0,2400,A,2,RENT,60000,36
0,10000,C,3,RENT,62000,24
1,4000,C,2,RENT,20000,28
1,5000,A,2,RENT,12000,27
1,6000,C,1,RENT,48000,23
0,5000,D,2,RENT,40000,21
0,4200,A,6,RENT,60000,29
0,12000,A,4,MORTGAGE,85000,22
1,3600,A,3,RENT,70000,27
0,6000,B,1,RENT,72000,25
1,4000,A,2,RENT,54000,27
0,13000,C,2,MORTGAGE,65000,22
1,1500,A,3,RENT,45000,24
1,4800,D,2,RENT,75000,24
1,1200,C,0,RENT,4800,22
0,7000,A,0,RENT,75800,23
1,12000,C,3,MORTGAGE,40000,23
0,10000,D,2,RENT,90000,21
0,2475,A,16,MORTGAGE,63600,23
1,7000,C,0,RENT,54000,28
0,10000,D,1,RENT,72000,38
0,7200,D,1,OWN,42996,25
1,7600,C,1,RENT,67680,25
0,1800,A,12,RENT,35000,29
0,7200,B,1,MORTGAGE,73200,32
0,2600,B,2,RENT,40792,35
0,7000,B,0,MORTGAGE,85000,23
0,12000,B,11,MORTGAGE,136000,32
0,7875,B,15,MORTGAGE,55500,36
0,6000,A,0,RENT,26400,22
0,4000,D,6,MORTGAGE,45000,31
0,6250,A,3,RENT,54000,23
0,10000,A,0,RENT,46200,22
0,4000,C,0,RENT,90000,28
0,17000,B,1,MORTGAGE,65000,26
1,12000,A,1,RENT,60000,30
0,3500,A,1,RENT,70000,23
0,18000,E,,OWN,72000,25
1,16750,C,18,RENT,60000,23
1,25000,D,3,MORTGAGE,116736,23
0,2000,B,0,RENT,24432,22
1,2100,D,0,RENT,14400,33
1,4000,A,,RENT,40000,25
0,13500,B,0,MORTGAGE,48526.8,22
1,6500,D,4,RENT,36000,30
1,9250,A,0,MORTGAGE,45896,25
0,11000,A,4,RENT,46000,22
0,7200,B,1,RENT,48000,30
1,3200,A,0,RENT,12000,24
0,8000,C,8,RENT,70000,26
0,1800,B,,RENT,14400,41
0,3600,A,12,MORTGAGE,93000,22
1,5000,B,3,RENT,65004,22
0,6950,A,11,MORTGAGE,30000,22
1,7500,B,2,MORTGAGE,81000,33
1,12000,D,2,RENT,27000,47
1,18000,A,7,MORTGAGE,90000,29
1,5000,B,3,RENT,40040,27
0,10000,C,34,OWN,75000,30
0,7500,C,7,RENT,55000,28
1,2000,D,1,RENT,30972,24
0,1000,C,2,RENT,7000,24
1,8000,B,1,RENT,33996,22
1,7750,E,2,RENT,26000,21
0,6000,A,0,RENT,48000,30
0,5000,B,1,MORTGAGE,51600,23
0,5000,A,2,RENT,58979.28,26
0,10000,C,11,MORTGAGE,153000,33
1,3500,D,2,MORTGAGE,24000,25
1,9000,A,9,RENT,42140,21
1,9000,B,1,RENT,51000,37
0,14000,A,14,MORTGAGE,116000,28
0,10500,B,6,RENT,38400,33
1,11200,C,5,MORTGAGE,33280,21
1,12000,D,2,MORTGAGE,72000,26
0,12500,A,3,MORTGAGE,32500,25
1,8000,B,3,RENT,14400,22
1,25000,B,12,MORTGAGE,616000,28
0,10000,B,10,MORTGAGE,32004,22
1,14000,B,8,RENT,35000,28
0,12000,B,2,RENT,47700,31
1,5400,D,1,RENT,32000,22
1,5900,A,1,OWN,15600,33
1,1100,C,5,MORTGAGE,36000,30
1,2000,B,2,RENT,10000,24
0,12000,A,6,RENT,48672,23
0,15000,B,4,RENT,84000,26
0,5000,A,11,OWN,85800,34
0,10000,C,3,RENT,62000,24
1,6000,B,1,MORTGAGE,34980,25
0,5000,B,8,MORTGAGE,80000,46
0,12000,B,1,OWN,61000,23
1,3500,B,9,RENT,51996,24
1,6000,A,8,MORTGAGE,92004,25
0,5600,A,20,RENT,55692,21
1,5000,D,7,RENT,40000,35
0,13375,A,1,MORTGAGE,59000,22
0,25000,A,18,RENT,65800,31
0,20000,B,7,MORTGAGE,120000,29
0,15000,A,4,RENT,74872,29
1,2000,B,26,MORTGAGE,52645,25
0,6000,A,3,RENT,39184,28
0,5400,C,20,MORTGAGE,100000,23
1,9000,C,5,MORTGAGE,69000,28
1,10000,B,5,RENT,60000,24
0,10000,D,4,RENT,34000,28
0,7000,D,4,RENT,72700,25
0,9600,B,10,RENT,94837,24
1,25000,B,2,MORTGAGE,250000,26
1,20000,D,3,RENT,62000,24
0,9000,C,7,MORTGAGE,50000,21
1,22000,F,2,MORTGAGE,93600,25
1,5775,A,1,RENT,36900,23
1,13500,B,9,MORTGAGE,78000,24
1,2000,B,1,RENT,48000,24
0,14400,C,1,RENT,80000,23
0,14000,B,0,RENT,37000,26
0,7000,D,5,RENT,35000,21
1,5000,A,3,OWN,32500,27
0,12000,A,19,MORTGAGE,145000,22
1,3800,C,3,MORTGAGE,68500,32
1,12000,B,5,MORTGAGE,108000,32
0,10000,A,3,MORTGAGE,62000,33
1,5000,C,6,RENT,41000,21
0,6000,A,2,MORTGAGE,47000,27
1,4600,D,5,RENT,58000,23
1,2000,A,24,RENT,24000,41
0,14100,A,6,RENT,83203.68,30
1,6200,D,61,MORTGAGE,75000,26
0,5000,D,3,MORTGAGE,165000,30
0,2100,A,6,MORTGAGE,61000,22
1,13200,D,,MORTGAGE,49800,30
1,25000,G,12,RENT,203000,29
0,10000,C,0,RENT,30000,27
1,25000,B,3,RENT,72000,26
0,10500,B,6,MORTGAGE,63400,22
0,6000,A,27,RENT,55000,26
0,6000,C,7,RENT,21812,25
1,1000,C,4,RENT,60000,55
0,25000,D,21,MORTGAGE,180000,24
0,9450,D,16,RENT,29000,32
0,11000,A,7,MORTGAGE,59000,37
0,15000,B,3,RENT,73500,23
0,15000,A,9,MORTGAGE,175000,44
0,6500,B,,MORTGAGE,85000,34
1,16800,D,6,RENT,75000,22
0,7750,A,15,MORTGAGE,65000,31
0,4000,B,2,RENT,29120,27
0,2300,B,0,RENT,25920,25
1,10000,A,9,MORTGAGE,60000,24
0,11200,D,11,OWN,51300,22
0,2500,B,5,RENT,45000,25
0,11000,D,3,RENT,47500,28
1,9600,B,4,MORTGAGE,80004,41
1,4800,C,7,RENT,38400,22
1,13000,A,3,RENT,54000,22
0,10800,B,4,RENT,82600,27
1,4600,D,3,RENT,58800,26
1,12000,C,0,MORTGAGE,35280,22
0,17800,E,1,RENT,85000,23
0,20000,C,13,MORTGAGE,50000,25
0,10000,A,2,MORTGAGE,105000,34
1,6300,C,6,MORTGAGE,60000,24
1,10000,D,3,RENT,75000,25
1,4200,B,1,RENT,42499,25
0,10000,D,2,RENT,48000,25
1,12000,D,4,RENT,30000,30
0,10800,A,21,MORTGAGE,110000,24
0,6000,C,19,MORTGAGE,72000,24
0,12000,E,3,RENT,125004,33
0,5650,D,0,OWN,20000,25
1,8000,C,3,MORTGAGE,38213,22
0,1000,D,11,MORTGAGE,32000,27
0,8000,A,4,RENT,54996,30
0,7000,B,3,RENT,45000,34
1,12000,B,7,MORTGAGE,26000,28
0,9500,B,1,MORTGAGE,38400,35
1,14000,B,0,MORTGAGE,75000,30
0,24000,E,2,MORTGAGE,79996,23
0,4000,A,5,RENT,70000,21
1,19975,C,9,RENT,125000,28
1,24000,B,30,MORTGAGE,160000,61
1,23500,D,,MORTGAGE,64800,22
0,15000,C,10,RENT,34800,22
0,5000,C,6,RENT,45600,25
0,5000,A,3,RENT,24000,25
1,10400,B,5,OWN,45000,25
0,3000,C,,RENT,38400,30
0,7500,C,3,MORTGAGE,90000,34
1,2400,D,2,RENT,13440,36
0,9000,C,4,OWN,81000,27
1,24000,F,13,MORTGAGE,105900,31
0,4000,C,0,RENT,34200,32
0,10000,B,0,RENT,38000,27
0,1600,G,4,RENT,42000,29
0,6000,A,4,MORTGAGE,112445,32
1,9000,C,2,RENT,18500,23
0,12000,B,2,RENT,33600,21
0,8000,A,4,RENT,72000,49
1,8000,D,2,RENT,42000,24
0,1800,C,3,RENT,36129,34
1,4500,C,15,RENT,55000,28
0,12250,B,4,MORTGAGE,47540,22
1,1500,A,1,MORTGAGE,60000,24
0,7000,B,12,RENT,50000,24
0,8000,A,7,RENT,48000,41
1,12875,B,3,RENT,37760,22
0,20000,D,12,MORTGAGE,260000,37
1,5000,D,0,RENT,65000,25
1,17000,A,1,MORTGAGE,58000,52
0,6000,B,1,RENT,75000,23
1,7000,E,6,MORTGAGE,80000,28
0,1050,A,6,MORTGAGE,61000,27
1,13750,E,23,MORTGAGE,38644,22
0,10000,A,4,MORTGAGE,57664,23
1,2000,C,0,RENT,33000,21
0,2500,B,1,OWN,18000,21
0,2000,D,4,RENT,39000,27
0,24000,A,4,RENT,48000,26
1,25000,C,5,MORTGAGE,73476,23
0,10000,A,6,MORTGAGE,40000,24
1,1500,C,0,RENT,42000,22
1,11500,B,0,MORTGAGE,28800,22
1,1500,B,7,RENT,45000,39
1,7500,B,9,MORTGAGE,78955,22
0,4800,B,26,RENT,69000,29
0,8000,A,1,OWN,68000,31
0,10000,A,3,MORTGAGE,125000,25
1,7000,B,1,MORTGAGE,93000,46
0,32000,A,2,RENT,120000,25
0,2500,C,0,RENT,20640,22
1,6000,B,5,MORTGAGE,126000,45
1,5000,B,22,RENT,57000,26
0,2000,C,11,RENT,26500,37
0,10000,A,7,MORTGAGE,75000,26
0,4000,C,3,MORTGAGE,115000,29
1,10000,D,6,MORTGAGE,160000,36
0,8000,B,0,RENT,26000,22
1,8400,C,4,MORTGAGE,100000,23
1,10000,E,5,MORTGAGE,60000,23
0,22750,A,0,RENT,49404,35
0,4000,C,7,MORTGAGE,80000,23
1,4200,C,18,RENT,61512,27
1,12000,C,18,RENT,32000,24
0,33000,B,0,MORTGAGE,70000,27
1,2500,D,0,OWN,36000,28
0,11500,A,6,MORTGAGE,55000,26
0,5000,C,3,RENT,65000,23
1,4000,A,12,RENT,50582,22
0,3500,A,2,RENT,30720,29
0,15000,A,1,RENT,147000,34
1,14100,C,7,RENT,52000,22
0,20000,C,9,MORTGAGE,85000,23
1,3200,A,1,MORTGAGE,57000,22
1,900,C,3,RENT,12000,32
0,3000,A,2,RENT,38748,25
1,4800,E,3,RENT,15000,24
1,18000,C,4,RENT,132725.38,27
0,12000,B,5,MORTGAGE,112000,23
1,7200,B,4,RENT,45000,27
0,6000,E,2,RENT,36000,33
0,5000,B,8,RENT,74500,26
0,8000,B,3,RENT,36000,30
1,7000,C,5,MORTGAGE,74400,36
1,5500,C,1,MORTGAGE,24900,22
0,14000,B,0,RENT,42000,27
1,15600,D,21,MORTGAGE,87000,49
0,1925,B,0,RENT,30000,23
0,18000,B,5,RENT,84000,25
1,10000,A,4,MORTGAGE,61000,26
1,7500,C,1,RENT,40000,30
0,2000,A,0,MORTGAGE,67992,29
0,19550,D,0,RENT,130000,22
0,2500,A,3,OWN,26000,28
0,5000,A,1,MORTGAGE,100000,24
1,6000,B,2,MORTGAGE,44300,27
1,6500,B,6,RENT,21000,21
0,4000,A,,OWN,33600,23
0,8000,A,6,MORTGAGE,125000,25
1,15450,C,7,RENT,120000,26
1,6000,D,2,MORTGAGE,56160,24
1,10000,B,12,MORTGAGE,36252,25
0,4800,A,1,RENT,27000,21
0,10000,C,13,MORTGAGE,75689,30
0,5000,A,2,MORTGAGE,80000,25
0,5000,B,24,MORTGAGE,93600,22
0,8000,A,18,MORTGAGE,65000,26
1,16000,B,14,MORTGAGE,61000,32
0,6000,D,0,RENT,71074,23
0,5000,A,6,RENT,60000,23
0,9000,D,3,RENT,70000,29
0,23000,C,0,MORTGAGE,120000,23
0,14000,C,31,RENT,78700,22
1,5000,A,4,OWN,18000,27
0,5500,C,1,MORTGAGE,9600,25
0,7000,C,3,RENT,36500,27
0,12000,A,2,RENT,64575,24
0,15000,B,4,MORTGAGE,67000,39
0,2800,B,7,RENT,24000,32
0,10800,C,2,RENT,55000,25
0,4800,C,5,RENT,39996,26
0,14500,A,11,MORTGAGE,64000,35
0,9600,B,2,MORTGAGE,55000,27
1,25000,C,11,MORTGAGE,73000,25
0,10000,B,1,OWN,55000,22
0,18000,A,1,MORTGAGE,48000,38
1,3000,D,5,RENT,60000,40
0,8400,B,7,MORTGAGE,28800,23
1,4000,B,2,RENT,39000,36
0,8000,B,3,MORTGAGE,54000,24
0,8000,B,25,MORTGAGE,109200,28
0,21000,B,17,RENT,110000,39
1,5000,B,,RENT,38000,23
0,8000,C,5,RENT,55000,31
0,3600,B,0,RENT,110000,30
0,12000,E,3,RENT,50000,24
0,6000,C,0,RENT,33280,21
1,2300,C,4,RENT,68000,29
0,4075,A,0,RENT,19200,31
1,12375,B,2,MORTGAGE,39552,30
0,6350,A,0,MORTGAGE,36000,26
0,14500,A,11,RENT,100000,26
0,4200,C,6,OWN,48000,35
0,20000,D,27,MORTGAGE,121178,28
0,6925,B,6,RENT,25000,21
1,1000,D,0,OWN,17280,38
1,2000,B,4,MORTGAGE,55000,21
0,10000,B,16,MORTGAGE,32000,23
0,12000,A,4,MORTGAGE,70000,31
0,16750,B,4,RENT,33000,33
0,4000,C,4,OWN,15000,23
0,1050,A,6,MORTGAGE,61000,27
0,4000,A,17,OWN,25200,32
1,2500,B,2,OWN,20004,21
0,14000,D,4,RENT,46800,39
1,10000,C,0,RENT,44469,35
1,6000,B,2,RENT,46680,22
1,1000,D,20,RENT,48000,21
0,8000,D,3,RENT,60000,24
0,13000,A,0,RENT,90000,24
0,20000,C,3,MORTGAGE,160000,25
0,16000,B,13,RENT,90000,27
1,3000,B,0,RENT,13200,28
0,7125,A,1,MORTGAGE,36000,39
1,2500,B,7,OWN,15360,22
0,2050,A,16,OWN,50000,23
0,7600,A,13,MORTGAGE,100000,27
0,4800,A,6,MORTGAGE,35000,38
1,1600,C,3,MORTGAGE,28500,27
1,4800,D,4,RENT,63996,31
1,7475,A,3,OWN,53000,28
0,11000,B,8,RENT,45000,22
0,12000,B,1,RENT,60000,24
0,15600,B,0,RENT,69000,36
1,6000,C,0,RENT,35000,25
0,10000,B,2,RENT,165000,24
0,4500,A,0,RENT,36000,21
1,5000,C,2,OWN,32500,23
0,7200,B,2,MORTGAGE,105000,26
0,10000,C,5,MORTGAGE,39216,23
0,6000,B,7,MORTGAGE,39996,22
1,15000,C,31,RENT,75000,23
1,8000,B,4,MORTGAGE,62000,29
1,2500,B,4,RENT,70000,24
1,1500,C,3,RENT,40980,22
1,24000,D,5,MORTGAGE,135000,26
1,4500,B,21,RENT,62000,23
1,24175,B,9,MORTGAGE,95000,23
1,35000,C,16,RENT,70000,24
0,8000,B,14,MORTGAGE,42000,23
1,10000,B,4,RENT,36000,27
0,4200,A,5,RENT,30000,34
0,11200,D,5,RENT,42000,21
0,5000,B,3,MORTGAGE,54996,22
0,7300,A,5,RENT,50000,27
0,10000,B,7,OWN,60000,24
1,7000,C,2,RENT,14400,29
0,12000,A,3,MORTGAGE,72984,24
0,8000,C,16,MORTGAGE,60000,21
1,10000,C,0,RENT,60000,25
1,10000,E,1,MORTGAGE,60000,36
1,10000,A,8,MORTGAGE,96000,28
1,3200,D,3,RENT,18996,22
1,5000,D,4,OWN,33000,21
1,6000,C,2,RENT,48000,23
0,3600,A,9,RENT,32000,24
1,9700,B,1,RENT,56400,27
1,2050,C,23,MORTGAGE,33000,24
0,5000,C,0,RENT,48504,29
0,7500,A,5,RENT,38000,22
1,15000,C,8,RENT,31680,21
0,8000,B,0,RENT,27000,26
0,28000,D,8,OWN,140000,27
1,12000,A,2,RENT,30000,34
1,10000,A,23,RENT,70000,23
0,16525,C,9,RENT,70000,26
0,2400,C,4,RENT,67000,26
0,3000,B,10,RENT,58800,33
0,4000,A,4,MORTGAGE,115000,25
1,4500,A,8,MORTGAGE,28000,26
0,2000,B,1,RENT,80000,23
0,9000,B,3,RENT,74000,26
0,17000,B,11,RENT,96000,22
1,8000,D,4,RENT,62400,24
0,1400,A,,OWN,8628,23
1,2400,C,5,RENT,99999,25
1,12800,D,2,MORTGAGE,141996,27
0,3000,A,11,RENT,67000,32
