default,amount,grade,years,ownership,income,age
0,5000,B,10,RENT,24000,33
0,2400,C,25,RENT,12252,31
0,10000,C,13,RENT,49200,24
0,5000,A,3,RENT,36000,39
0,3000,E,9,RENT,48000,24
0,12000,B,11,OWN,75000,28
1,9000,C,0,RENT,30000,22
0,3000,B,3,RENT,15000,22
1,10000,B,3,RENT,1.00E+05,28
0,1000,D,0,RENT,28000,22
0,10000,C,4,RENT,42000,23
0,3600,A,13,MORTGAGE,110000,27
0,6000,B,1,MORTGAGE,84000,30
0,9200,A,6,RENT,77385.19,24
1,21000,B,17,RENT,105000,29
0,10000,B,13,OWN,50000,23
0,10000,B,5,RENT,50000,22
1,6000,B,1,RENT,76000,31
0,15000,B,2,MORTGAGE,92000,23
1,15000,C,9,RENT,60000,30
0,4000,B,19,MORTGAGE,106000,27
0,8500,B,0,RENT,25000,24
0,4375,A,7,MORTGAGE,17108,38
0,31825,A,5,MORTGAGE,75000,23
0,5000,A,2,RENT,24044,22
0,7000,C,7,RENT,34000,27
0,12400,B,18,RENT,41000,36
0,10800,B,2,RENT,55596,35
0,15000,A,1,RENT,45000,23
0,6000,B,1,RENT,36852,25
0,9600,A,4,RENT,68004,22
0,12000,A,15,RENT,62300,25
0,3000,D,9,MORTGAGE,65000,26
0,4400,D,17,RENT,55000,24
0,6000,A,17,MORTGAGE,45600,21
0,14000,B,6,RENT,80000,26
1,5000,A,17,MORTGAGE,1.00E+05,27
0,10000,B,6,RENT,27000,23
0,10000,A,11,RENT,60000,37
0,11000,A,5,RENT,70000,26
1,15000,B,8,MORTGAGE,80000,26
0,25600,B,9,RENT,110000,29
0,7000,B,0,RENT,40000,22
1,12000,C,4,RENT,50000,29
0,12000,B,1,RENT,46000,38
0,10000,B,0,OWN,39000,33
0,10000,B,2,RENT,51400,23
0,7100,D,1,MORTGAGE,33000,29
0,8000,D,0,RENT,62000,29
0,3500,B,7,MORTGAGE,55000,33
0,16425,C,4,RENT,44544,27
0,15000,C,2,OWN,61000,25
1,6400,D,5,RENT,75000,35
0,3000,C,1,RENT,33600,27
0,12000,D,3,RENT,50000,25
0,14400,A,0,OWN,150000,25
0,12000,C,18,RENT,90000,28
0,11000,C,23,MORTGAGE,48000,26
0,15000,A,1,MORTGAGE,52000,37
0,10000,C,2,RENT,68000,29
0,11800,B,6,RENT,42000,23
0,4500,A,4,RENT,53000,40
