default,amount,grade,years,ownership,income,age,y_pred,y_proba
0,0,1000,B,2.0,RENT,19200.0,24,0,0.17
1,1,6500,A,2.0,MORTGAGE,66000.0,28,1,0.75
2,0,2400,A,2.0,RENT,60000.0,36,0,0.09
3,0,10000,C,3.0,RENT,62000.0,24,0,0.01
4,1,4000,C,2.0,RENT,20000.0,28,1,0.92
5,1,5000,A,2.0,RENT,12000.0,27,1,0.81
6,1,6000,C,1.0,RENT,48000.0,23,1,0.95
7,0,5000,D,2.0,RENT,40000.0,21,0,0.09
8,0,4200,A,6.0,RENT,60000.0,29,0,0.16
9,0,12000,A,4.0,MORTGAGE,85000.0,22,0,0.01
10,1,3600,A,3.0,RENT,70000.0,27,1,0.69
11,0,6000,B,1.0,RENT,72000.0,25,0,0.09
12,1,4000,A,2.0,RENT,54000.0,27,1,0.8
13,0,13000,C,2.0,MORTGAGE,65000.0,22,0,0.11
14,1,1500,A,3.0,RENT,45000.0,24,1,0.84
15,1,4800,D,2.0,RENT,75000.0,24,1,0.91
16,1,1200,C,0.0,RENT,4800.0,22,1,0.74
17,0,7000,A,0.0,RENT,75800.0,23,0,0.13
18,1,12000,C,3.0,MORTGAGE,40000.0,23,1,0.93
19,0,10000,D,2.0,RENT,90000.0,21,0,0.18
20,0,2475,A,16.0,MORTGAGE,63600.0,23,0,0.12
21,1,7000,C,0.0,RENT,54000.0,28,1,0.75
22,0,10000,D,1.0,RENT,72000.0,38,0,0.13
23,0,7200,D,1.0,OWN,42996.0,25,0,0.23
24,1,7600,C,1.0,RENT,67680.0,25,1,0.79
25,0,1800,A,12.0,RENT,35000.0,29,0,0.33
26,0,7200,B,1.0,MORTGAGE,73200.0,32,0,0.14
27,0,2600,B,2.0,RENT,40792.0,35,0,0.13
28,0,7000,B,0.0,MORTGAGE,85000.0,23,0,0.18
29,0,12000,B,11.0,MORTGAGE,136000.0,32,0,0.09
30,0,7875,B,15.0,MORTGAGE,55500.0,36,0,0.08
31,0,6000,A,0.0,RENT,26400.0,22,0,0.17
32,0,4000,D,6.0,MORTGAGE,45000.0,31,0,0.3
33,0,6250,A,3.0,RENT,54000.0,23,0,0.19
34,0,10000,A,0.0,RENT,46200.0,22,0,0.03
35,0,4000,C,0.0,RENT,90000.0,28,0,0.12
36,0,17000,B,1.0,MORTGAGE,65000.0,26,0,0.0
37,1,12000,A,1.0,RENT,60000.0,30,1,0.73
38,0,3500,A,1.0,RENT,70000.0,23,0,0.16
39,0,18000,E,6.086331901181525,OWN,72000.0,25,0,0.21
40,1,16750,C,18.0,RENT,60000.0,23,1,0.86
