still_in_beta,bugs_solved_3_months,bugs_solved_6_months,bugs_solved_9_months,num_test_accounts_internal,time_needed_to_ship,num_test_accounts_external,min_installations_per_account,num_prod_installations,ready_for_enterprise,perf_dev_index,perf_qa_index,sev1_issues_outstanding,potential_prod_issue,ready_for_startups,ready_for_smb,sales_Q1,sales_Q2,sales_Q3,sales_Q4,saas_offering_available,customer_bought
No,2.0,3.0,5.0,0.0,8.0,0.0,2.0,0.0,No,0.58,0.68,0.0,No,Yes,No,0.0,3.0,3.0,3.0,Yes,Yes
No,3456.0,3456.0,3456.0,0.0,8.0,1.0,7.0,24.0,No,0.95,1.0,0.0,No,Yes,No,10.0,39.0,68.0,93.0,Yes,Yes
No,428.0,526.0,606.0,2.0,8.0,56.0,52.0,-55.0,No,-99.0,-99.0,0.0,No,No,No,25.0,100.0,205.0,387.0,Yes,Yes
No,42.0,84.0,126.0,14.0,8.0,0.0,24.0,30.0,No,0.92,0.98,0.0,No,No,No,7.0,56.0,107.0,148.0,Yes,Yes
No,3452.0,5044.0,7188.0,350.0,12.0,525.0,401.0,-499.0,No,0.72,0.49,0.0,No,No,No,747.0,2550.0,3572.0,4745.0,Yes,Yes
No,26.0,38.0,46.0,2.0,8.0,0.0,0.0,1.0,No,0.94,0.97,0.0,No,No,No,8.0,14.0,27.0,42.0,Yes,Yes
No,5.0,15.0,25.0,0.0,2.0,0.0,4.0,13.0,No,0.99,0.99,0.0,No,No,No,10.0,31.0,48.0,58.0,Yes,Yes
No,13.0,26.0,26.0,0.0,2.0,0.0,3.0,5.0,No,0.5,0.06,0.0,No,Yes,No,1.0,5.0,10.0,18.0,Yes,Yes
Yes,15.0,15.0,15.0,0.0,2.0,0.0,0.0,0.0,No,0.05,0.1,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
No,24.0,41.0,50.0,0.0,8.0,4.0,5.0,-4.0,No,0.74,0.77,1.0,No,No,No,3.0,6.0,19.0,32.0,Yes,Yes
No,6.0,17.0,23.0,0.0,8.0,0.0,4.0,8.0,No,0.94,0.96,0.0,No,No,No,7.0,13.0,28.0,50.0,Yes,Yes
No,6.0,6.0,6.0,1.0,8.0,0.0,0.0,0.0,No,0.89,0.9,1.0,No,No,No,0.0,4.0,9.0,12.0,Yes,Yes
No,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,No,0.9,0.89,0.0,No,No,No,0.0,0.0,2.0,2.0,Yes,Yes
No,4.0,7.0,10.0,1.0,12.0,0.0,0.0,0.0,No,0.79,0.82,0.0,No,No,No,1.0,3.0,5.0,8.0,Yes,Yes
No,576.0,768.0,960.0,0.0,8.0,3.0,101.0,57.0,No,0.0,0.0,0.0,No,No,No,61.0,184.0,519.0,589.0,Yes,Yes
No,2.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,No,0.97,0.96,0.0,No,No,No,1.0,2.0,3.0,3.0,Yes,Yes
No,38.0,55.0,89.0,0.0,8.0,0.0,1.0,2.0,No,0.99,0.99,0.0,No,Yes,No,12.0,41.0,75.0,98.0,Yes,Yes
Yes,15.0,30.0,44.0,0.0,8.0,0.0,4.0,5.0,No,0.63,0.5,0.0,No,No,No,6.0,15.0,47.0,61.0,Yes,Yes
No,3.0,4.0,6.0,0.0,8.0,0.0,0.0,0.0,No,0.78,0.77,0.0,No,No,No,2.0,3.0,4.0,5.0,Yes,Yes
No,45.0,99.0,153.0,0.0,2.0,0.0,10.0,20.0,No,0.88,0.81,0.0,No,No,No,16.0,42.0,80.0,111.0,Yes,Yes
Yes,3.0,4.0,5.0,0.0,12.0,0.0,0.0,0.0,No,0.79,0.82,0.0,No,No,No,1.0,3.0,5.0,5.0,No,Yes
No,22.0,42.0,62.0,0.0,9.0,0.0,4.0,0.0,No,0.68,0.69,0.0,No,No,No,6.0,18.0,28.0,38.0,Yes,Yes
No,10.0,10.0,10.0,0.0,2.0,0.0,0.0,1.0,No,0.99,1.0,0.0,No,No,No,1.0,1.0,1.0,1.0,Yes,Yes
No,10.0,16.0,26.0,0.0,2.0,0.0,1.0,3.0,No,0.99,0.99,0.0,No,No,No,5.0,8.0,21.0,33.0,Yes,Yes
Yes,49.0,49.0,49.0,0.0,8.0,0.0,0.0,0.0,No,0.78,0.77,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
